                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.61539,                 1.1173,                0.57756,                  1.031,                0.88038,                0.78753,                0.86723,                0.69611,                0.88609,                0.79277,                 0.8649,                0.66838,                0.71598,                 1.4488,                0.63941,                 1.1521,              0.0015347,              0.0015347,              0.0015347
                     50,                0.63059,                 1.1574,                0.59208,                 1.0433,                0.88293,                0.79618,                0.86809,                0.70123,                 0.8879,                0.80721,                 0.8758,                 0.6738,                0.71247,                 1.3752,                0.63305,                 1.1501,              0.0015248,              0.0015248,              0.0015248
                     51,                0.61876,                 1.1406,                0.57319,                 1.0297,                0.86224,                0.79745,                0.86775,                0.69725,                0.87877,                0.81274,                0.87699,                0.67215,                0.74075,                 1.4002,                0.66331,                 1.1627,              0.0015149,              0.0015149,              0.0015149
                     52,                0.60831,                 1.1201,                0.57264,                 1.0266,                0.86397,                0.80892,                0.87408,                0.69519,                0.86049,                0.81529,                0.87626,                0.67651,                0.73438,                 1.4567,                 0.6206,                 1.1712,               0.001505,               0.001505,               0.001505
                     53,                0.61636,                 1.1267,                0.56552,                 1.0331,                0.88489,                0.80764,                0.87414,                 0.7015,                0.91194,                0.79149,                0.86861,                0.67329,                0.71697,                 1.4451,                0.59929,                 1.1665,              0.0014951,              0.0014951,              0.0014951
                     54,                0.60804,                 1.0909,                0.54318,                 1.0261,                0.88484,                0.80264,                0.88253,                 0.7148,                0.89778,                0.80382,                0.88053,                 0.6884,                0.67832,                 1.3898,                 0.5795,                 1.1431,              0.0014852,              0.0014852,              0.0014852
                     55,                0.58975,                 1.0937,                0.54025,                 1.0216,                0.88592,                0.79139,                0.86519,                 0.7035,                0.87928,                0.81783,                 0.8774,                0.67831,                0.69139,                 1.4043,                0.61501,                 1.1557,              0.0014753,              0.0014753,              0.0014753
                     56,                0.58688,                 1.0571,                0.54084,                  1.018,                0.86129,                0.81019,                0.86935,                0.70002,                0.85765,                0.82891,                0.87446,                0.67646,                0.70261,                 1.4272,                0.59207,                 1.1447,              0.0014654,              0.0014654,              0.0014654
                     57,                0.58948,                 1.0667,                0.53385,                 1.0174,                0.88982,                0.79363,                0.87265,                0.70608,                0.91123,                0.79769,                0.88189,                0.68777,                0.68354,                 1.3641,                0.58515,                 1.1412,              0.0014555,              0.0014555,              0.0014555
                     58,                0.59677,                 1.0821,                0.54631,                 1.0217,                0.89111,                 0.7923,                 0.8701,                0.70477,                0.89801,                0.79638,                0.87484,                0.67541,                0.71624,                 1.4416,                0.60512,                 1.1606,              0.0014456,              0.0014456,              0.0014456
                     59,                0.58489,                 1.0597,                0.53883,                 1.0176,                0.90501,                0.77674,                0.87344,                0.71056,                0.87801,                0.81019,                0.87732,                0.68346,                0.69624,                 1.3722,                0.60873,                 1.1503,              0.0014357,              0.0014357,              0.0014357
                     60,                0.58192,                 1.0508,                0.53106,                 1.0116,                0.87488,                0.80127,                0.86179,                0.68758,                0.87775,                0.80486,                0.86596,                0.66676,                0.70347,                 1.3674,                0.59397,                 1.1593,              0.0014258,              0.0014258,              0.0014258
                     61,                0.57602,                 1.0478,                0.52028,                  1.002,                0.87691,                0.81274,                 0.8797,                0.71342,                 0.8896,                0.82121,                0.88372,                0.69516,                0.70098,                  1.337,                0.59931,                 1.1501,              0.0014159,              0.0014159,              0.0014159
                     62,                0.58374,                  1.055,                0.51893,                 1.0073,                0.88092,                0.79161,                 0.8728,                0.69572,                0.88235,                0.79298,                0.87043,                 0.6747,                 0.7345,                 1.4061,                0.61339,                 1.1866,               0.001406,               0.001406,               0.001406
                     63,                0.56993,                 1.0276,                0.51501,                 1.0046,                0.88813,                0.81274,                0.87324,                0.71226,                0.92682,                0.79236,                0.87351,                0.68904,                0.68557,                 1.4607,                0.58722,                 1.1405,              0.0013961,              0.0013961,              0.0013961
                     64,                0.56564,                 1.0102,                0.51143,                0.99816,                0.90818,                0.78726,                0.87759,                0.71911,                0.91964,                0.79745,                0.87828,                0.69148,                0.67952,                  1.364,                0.61184,                 1.1251,              0.0013862,              0.0013862,              0.0013862
